Epoch,X,Y,Z
1699060704439,-0.5220947,-0.04876709,1.374939
1699060704440,-0.4890747,0.0052490234,1.3120117
1699060704440,-0.4407959,0.064086914,1.2173462
1699060704441,-0.35620117,0.11633301,1.0874023
1699060704496,-0.26080322,0.19274902,0.9335327
1699060704496,-0.19274902,0.24420166,0.7727661
1699060704496,-0.14385986,0.23858643,0.61901855
1699060704498,-0.1026001,0.24707031,0.45568848
1699060704646,-0.07550049,0.26727295,0.33459473
1699060704646,-0.055419922,0.25372314,0.25170898
1699060704646,-0.053649902,0.20123291,0.17279053
1699060704646,-0.068847656,0.1317749,0.09472656
1699060704676,-0.07720947,0.079711914,-0.008300781
1699060704676,-0.085632324,0.031311035,-0.10290527
1699060704676,-0.09979248,-0.010131836,-0.20123291
1699060704677,-0.11694336,-0.053222656,-0.30499268
1699060704737,-0.13201904,-0.09820557,-0.38275146
1699060704738,-0.14215088,-0.13690186,-0.45581055
1699060704738,-0.16320801,-0.16394043,-0.52789307
1699060704738,-0.18200684,-0.1906128,-0.58776855
1699060704738,-0.20043945,-0.23065186,-0.6311035
1699060704738,-0.21331787,-0.27520752,-0.66955566
1699060704741,-0.2243042,-0.32452393,-0.7034912
1699060704741,-0.22906494,-0.3602295,-0.7391968
1699060704741,-0.22369385,-0.36987305,-0.76104736
1699060704742,-0.20806885,-0.3534546,-0.77783203
1699060704742,-0.20855713,-0.31591797,-0.75665283
1699060704742,-0.20855713,-0.288208,-0.69989014
1699060704744,-0.2006836,-0.2637329,-0.63031006
1699060704744,-0.19976807,-0.23962402,-0.527771
1699060704826,-0.19812012,-0.24035645,-0.4105835
1699060704826,-0.17248535,-0.26080322,-0.2855835
1699060704827,-0.14404297,-0.29351807,-0.17181396
1699060704827,-0.1428833,-0.30004883,-0.072631836
1699060704857,-0.14666748,-0.27618408,0.07110596
1699060704857,-0.16229248,-0.25439453,0.2750244
1699060704857,-0.21264648,-0.25689697,0.52557373
1699060704857,-0.22161865,-0.26861572,0.7043457
1699060704857,-0.20397949,-0.2658081,0.84747314
1699060704857,-0.18145752,-0.21862793,1.0220337
1699060704858,-0.15863037,-0.14068604,1.1835938
1699060704860,-0.18713379,-0.124572754,1.4238892
1699060704860,-0.2878418,-0.18701172,1.6445923
1699060704860,-0.42199707,-0.29333496,1.8162231
1699060704860,-0.5079346,-0.41351318,1.9468384
1699060704860,-0.5892334,-0.6269531,1.999939
1699060704917,-0.72680664,-0.9208374,1.999939
1699060704917,-0.8744507,-1.1599121,1.9987793
1699060704917,-0.9793701,-1.258606,1.999939
1699060704917,-1.0195923,-1.265625,1.999939
1699060704917,-1.0119019,-1.2033081,1.999939
1699060704917,-1.0288696,-1.1094971,1.999939
1699060704977,-1.0340576,-1.0435791,1.999939
1699060704977,-1.0083008,-1.0077515,1.9971924
1699060704979,-0.98583984,-0.9951172,1.9407959
1699060704979,-0.9572754,-0.98583984,1.8452759
1699060704979,-0.8996582,-0.9602051,1.7709961
1699060704979,-0.83477783,-0.9003296,1.710022
1699060705067,-0.79522705,-0.815979,1.6634521
1699060705067,-0.7602539,-0.74523926,1.6045532
1699060705067,-0.7056885,-0.6749878,1.5157471
1699060705067,-0.631897,-0.5892334,1.392456
1699060705097,-0.539917,-0.51312256,1.2651978
1699060705097,-0.47924805,-0.43701172,1.1599121
1699060705097,-0.4234619,-0.32824707,1.0650024
1699060705097,-0.3474121,-0.1973877,0.93395996
1699060705097,-0.28552246,-0.10241699,0.77819824
1699060705098,-0.23657227,-0.05029297,0.637146
1699060705098,-0.19390869,-0.024353027,0.5036011
1699060705098,-0.16607666,-0.004211426,0.37194824
1699060705157,-0.1373291,0.014892578,0.23913574
1699060705157,-0.11895752,0.036010742,0.09655762
1699060705157,-0.08972168,0.066223145,-0.049316406
1699060705157,-0.07507324,0.07171631,-0.16247559
1699060705157,-0.072387695,0.057678223,-0.26739502
1699060705216,-0.06921387,0.029968262,-0.3696289
1699060705216,-0.07446289,-0.008239746,-0.46972656
1699060705216,-0.08666992,-0.043518066,-0.5675659
1699060705216,-0.09906006,-0.06750488,-0.6555176
1699060705217,-0.101745605,-0.07861328,-0.7269287
1699060705217,-0.10760498,-0.10998535,-0.77160645
1699060705217,-0.119384766,-0.14910889,-0.796875
1699060705275,-0.13269043,-0.17218018,-0.80981445
1699060705275,-0.118652344,-0.18341064,-0.81134033
1699060705275,-0.11517334,-0.19085693,-0.78881836
1699060705276,-0.113464355,-0.21459961,-0.743103
1699060705337,-0.12414551,-0.23687744,-0.6835327
1699060705337,-0.13537598,-0.25909424,-0.6121216
1699060705338,-0.1538086,-0.29382324,-0.5064697
1699060705338,-0.18603516,-0.3517456,-0.38702393
1699060705338,-0.22058105,-0.40118408,-0.27093506
1699060705338,-0.24334717,-0.42547607,-0.15350342
1699060705338,-0.25543213,-0.41503906,-0.05303955
1699060705338,-0.23236084,-0.3513794,0.02520752
1699060705397,-0.18756104,-0.24389648,0.14282227
1699060705487,-0.17211914,-0.17901611,0.36553955
1699060705517,-0.21783447,-0.22052002,0.6916504
1699060705517,-0.29656982,-0.28759766,0.98394775
1699060705517,-0.34753418,-0.3647461,1.1939087
1699060705517,-0.43878174,-0.59399414,1.3903198
1699060705517,-0.5809326,-0.81921387,1.4370117
1699060705520,-0.60009766,-0.73535156,1.3748169
1699060705521,-0.49597168,-0.5394287,1.3945923
1699060705521,-0.6040039,-0.6178589,1.5292358
1699060705521,-0.7348633,-0.71606445,1.6809082
1699060705521,-0.73114014,-0.769104,1.7861938
1699060705521,-0.7474365,-0.8572998,1.8841553
1699060705524,-0.8051758,-1.0108032,1.9981079
1699060705524,-0.89208984,-1.2183228,1.999939
1699060705524,-0.9507446,-1.3673096,1.99823
1699060705577,-0.975647,-1.4473877,1.9707031
1699060705577,-0.9654541,-1.4793091,1.8897705
1699060705577,-0.9446411,-1.4782715,1.7758179
1699060705577,-0.90856934,-1.4644775,1.6439819
1699060705637,-0.8383789,-1.418396,1.5070801
1699060705637,-0.7648926,-1.3373413,1.399353
1699060705637,-0.711853,-1.2497559,1.3293457
1699060705637,-0.68182373,-1.178772,1.300354
1699060705640,-0.65893555,-1.1257324,1.2734985
1699060705640,-0.6257324,-1.0669556,1.2180176
1699060705640,-0.5725708,-1.0006104,1.1577759
1699060705640,-0.51123047,-0.9302368,1.0930786
1699060705640,-0.46429443,-0.8057251,1.0297852
1699060705640,-0.42474365,-0.63879395,0.9519043
1699060705786,-0.3916626,-0.5233154,0.84368896
1699060705787,-0.3574829,-0.4683838,0.7216797
1699060705787,-0.33154297,-0.44506836,0.60876465
1699060705787,-0.31115723,-0.4189453,0.50115967
1699060705815,-0.29101562,-0.3619995,0.40533447
1699060705815,-0.2672119,-0.2904663,0.32611084
1699060705815,-0.23632812,-0.22717285,0.25372314
1699060705816,-0.21966553,-0.18341064,0.17340088
1699060705816,-0.21807861,-0.14904785,0.0748291
1699060705816,-0.22479248,-0.12640381,-0.03692627
1699060705817,-0.22113037,-0.11517334,-0.14447021
1699060705877,-0.20928955,-0.09649658,-0.24102783
1699060705937,-0.19366455,-0.07635498,-0.32580566
1699060705937,-0.18145752,-0.05731201,-0.41107178
1699060705937,-0.17144775,-0.041503906,-0.4841919
1699060705937,-0.15997314,-0.03692627,-0.5493164
1699060705937,-0.14587402,-0.058776855,-0.5854492
1699060705938,-0.14477539,-0.088256836,-0.6043701
1699060705941,-0.16015625,-0.13250732,-0.59991455
1699060705941,-0.1663208,-0.17736816,-0.59088135
1699060705941,-0.16595459,-0.19317627,-0.58099365
1699060705941,-0.14776611,-0.18432617,-0.56781006
1699060705941,-0.12878418,-0.17816162,-0.5405884
1699060705941,-0.1270752,-0.16845703,-0.50616455
1699060705943,-0.11187744,-0.15966797,-0.45825195
1699060705943,-0.09674072,-0.17590332,-0.3826294
1699060706026,-0.11090088,-0.20788574,-0.28173828
1699060706026,-0.144104,-0.25897217,-0.1572876
1699060706027,-0.19036865,-0.3227539,-0.037475586
1699060706027,-0.2253418,-0.37731934,0.06958008
1699060706116,-0.253479,-0.36535645,0.15216064
1699060706116,-0.23120117,-0.2836914,0.20184326
1699060706117,-0.15478516,-0.16986084,0.25726318
1699060706117,-0.117004395,-0.1295166,0.38720703
1699060706117,-0.14556885,-0.21728516,0.61309814
1699060706175,-0.21453857,-0.41394043,0.88549805
1699060706175,-0.3140869,-0.6958008,1.0999756
1699060706264,-0.43121338,-0.871521,1.3101196
1699060706264,-0.51031494,-0.9650879,1.3989258
1699060706265,-0.52856445,-0.9512329,1.3449707
1699060706267,-0.4805298,-0.895813,1.3956299
1699060706296,-0.53448486,-0.90338135,1.5124512
1699060706296,-0.6225586,-0.9724121,1.6068115
1699060706297,-0.56140137,-1.0309448,1.7109985
1699060706297,-0.5252075,-1.1561279,1.7926636
1699060706297,-0.55926514,-1.3057861,1.9025879
1699060706298,-0.5904541,-1.4537964,1.9782715
1699060706301,-0.6245117,-1.581604,1.9833374
1699060706301,-0.64678955,-1.6846313,1.9290771
1699060706301,-0.638916,-1.737915,1.86969
1699060706301,-0.6234741,-1.7247925,1.7998657
1699060706301,-0.59088135,-1.6652832,1.7107544
1699060706302,-0.5516968,-1.5750732,1.6271362
1699060706302,-0.503479,-1.4873047,1.5542603
1699060706356,-0.4411621,-1.4119873,1.4836426
1699060706356,-0.39074707,-1.3317871,1.4118042
1699060706359,-0.35601807,-1.260376,1.3590698
1699060706359,-0.3289795,-1.2044067,1.3070068
1699060706359,-0.26794434,-1.1651001,1.2597046
1699060706359,-0.17468262,-0.50579834,0.8788452
1699060706359,-0.1605835,-0.43084717,0.76782227
1699060706359,-0.15808105,-0.3829956,0.66845703
1699060706362,-0.16479492,-0.29956055,0.5523071
1699060706362,-0.16320801,-0.1829834,0.421875
1699060706362,-0.1517334,-0.0670166,0.29266357
